"filename", "language", "XML", "YAML", "Properties", "Groovy", "Dart", "GraphQL", "C++", "Markdown", "Swift", "Go", "Go Module File", "JSON", "Go Checksum File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/utils/inputHandlers/usernameInputHandler.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/juanma/development/golang/happ/happ_server/utils/isAuth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 22, 77
"/Users/juanma/development/golang/happ/happ_server/utils/meilisearch/meiliClient.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 33, 12, 75
"/Users/juanma/development/golang/happ/happ_server/utils/meilisearch/meilisearch.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 13, 36, 150
"/Users/juanma/development/golang/happ/happ_server/utils/newEventUtils/eventKeys.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 12, 16, 69
"/Users/juanma/development/golang/happ/happ_server/utils/notifications/notifications.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 10, 58
"/Users/juanma/development/golang/happ/happ_server/utils/redis/redis.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 16, 49
"/Users/juanma/development/golang/happ/happ_server/utils/redis/redisClient.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 4, 14
"/Users/juanma/development/golang/happ/happ_server/utils/removeDuplicateItems.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"Total", "-", 160, 139, 8, 89, 19345, 827, 1, 13, 12, 36294, 119, 157, 730, 8099, 7794, 73787
