"filename", "language", "Dart", "XML", "GraphQL", "YAML", "JSON", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/ent/event_query.go", "Go", 0, 0, 0, 0, 0, 125, 0, 0, 9, 5, 139
"/Users/juanma/development/golang/happ/happ_server/ent/event_update.go", "Go", 0, 0, 0, 0, 0, 149, 0, 0, 12, 12, 173
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification.go", "Go", 0, 0, 0, 0, 0, 140, 0, 0, 35, 17, 192
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification/eventremindernotification.go", "Go", 0, 0, 0, 0, 0, 77, 0, 0, 28, 14, 119
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification/where.go", "Go", 0, 0, 0, 0, 0, 182, 0, 0, 45, 48, 275
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification_create.go", "Go", 0, 0, 0, 0, 0, 463, 0, 0, 145, 72, 680
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification_delete.go", "Go", 0, 0, 0, 0, 0, 67, 0, 0, 9, 13, 89
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification_query.go", "Go", 0, 0, 0, 0, 0, 571, 0, 0, 77, 48, 696
"/Users/juanma/development/golang/happ/happ_server/ent/eventremindernotification_update.go", "Go", 0, 0, 0, 0, 0, 369, 0, 0, 37, 41, 447
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 2, 1, 10
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser/eventuser.go", "Go", 0, 0, 0, 0, 0, 48, 0, 0, 10, 11, 69
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser/where.go", "Go", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -8
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser_create.go", "Go", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -6
"/Users/juanma/development/golang/happ/happ_server/ent/eventuser_query.go", "Go", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
